china_code,china_name,risk_pca,risk_rf,risk_ensemble
6070402,锅炉附属设备检修工,0.68904837,0.684176066,0.686550739
6070403,汽轮机本体设备检修工,0.68904837,0.684176066,0.686550739
6070404,汽轮机附属设备检修工,0.68904837,0.684176066,0.686550739
6070405,发电厂电动机检修工,0.645813616,0.650458493,0.648194664
6070406,水轮机检修工,0.68904837,0.684176066,0.686550739
6070407,水电站水力机械试验工,0.468301556,0.465439965,0.466834653
6070408,水电自动装置检修工,0.575739034,0.580831854,0.578349706
6070409,高压线路带电检修工,0.62504381,0.625030085,0.625036775
6070410,变压器检修工,0.645813616,0.650458493,0.648194664
6070411,变电设备检修工,0.645813616,0.650458493,0.648194664
6070412,电气试验员,0.468301556,0.465439965,0.466834653
6070413,继电保护员,0.468301556,0.465439965,0.466834653
6070501,电力负荷控制员,0.468301556,0.465439965,0.466834653
6070502,用电监察员,0.516445171,0.516375994,0.516409709
6070503,抄表核算收费员,0.594684233,0.627125555,0.61131424
6070504,装表接电工,0.62504381,0.625030085,0.625036775
6070505,电能计量装置检修工,0.645813616,0.650458493,0.648194664
6070599,其他供用电人员,0.510543593,0.516303647,0.513496301
6070601,变电设备安装工,0.62504381,0.625030085,0.625036775
6070602,变配电室值班电工,0.840827518,0.845510462,0.84322808
6070603,常用电机检修工,0.645813616,0.650458493,0.648194664
6070604,牵引电力线路安装维护工,0.62504381,0.625030085,0.625036775
6070605,维修电工,0.645813616,0.650458493,0.648194664
6080101,真空电子器件化学零件制造工,0.741948571,0.739127355,0.740502365
6080102,电极丝制造工,0.741948571,0.739127355,0.740502365
6080103,真空电子器件金属零件制造工,0.741948571,0.739127355,0.740502365
6080104,电子真空镀膜工,0.741948571,0.739127355,0.740502365
6080105,真空电子器件装配工,0.741948571,0.739127355,0.740502365
6080106,真空电子器件装调工,0.741948571,0.739127355,0.740502365
6080107,液晶显示器件制造工,0.741948571,0.739127355,0.740502365
6080108,单晶片加工工,0.741948571,0.739127355,0.740502365
6080109,半导体芯片制造工,0.741948571,0.739127355,0.740502365
6080110,半导体分立器件、集成电路装调工,0.741948571,0.739127355,0.740502365
6080111,电子用水制备工,0.779163425,0.779316858,0.779242078
6080201,电阻器制造工,0.741948571,0.739127355,0.740502365
6080202,电容器制造工,0.741948571,0.739127355,0.740502365
6080203,微波铁氧体元器件制造工,0.741948571,0.739127355,0.740502365
6080204,石英晶体生长设备操作工,0.741948571,0.739127355,0.740502365
6080205,压电石英晶片加工工,0.741948571,0.739127355,0.740502365
6080206,石英晶体元器件制造工,0.741948571,0.739127355,0.740502365
6080207,电声器件制造工,0.741948571,0.739127355,0.740502365
6080208,水声换能器制造工,0.741948571,0.739127355,0.740502365
6080209,专用继电器制造工,0.741948571,0.739127355,0.740502365
6080210,高频电感器件制造工,0.741948571,0.739127355,0.740502365
6080211,接插件制造工,0.741948571,0.739127355,0.740502365
6080212,磁头制造工,0.741948571,0.739127355,0.740502365
6080213,电子产品制版工,0.741948571,0.739127355,0.740502365
6080214,印制电路制作工,0.741948571,0.739127355,0.740502365
6080215,薄膜加热器制造工,0.741948571,0.739127355,0.740502365
6080301,铅酸蓄电池制造工,0.741948571,0.739127355,0.740502365
6080302,碱性蓄电池制造工,0.741948571,0.739127355,0.740502365
6080303,原电池制造工,0.741948571,0.739127355,0.740502365
6080304,热电池制造工,0.741948571,0.739127355,0.740502365
6080305,太阳电池制造工,0.741948571,0.739127355,0.740502365
6080401,无线电设备机械装校工,0.734954122,0.747661599,0.741468204
6080402,电子设备装接工,0.734954122,0.747661599,0.741468204
6080403,无线电调试工,0.468301556,0.465439965,0.466834653
6080404,雷达装配工,0.734954122,0.747661599,0.741468204
6080405,雷达调试工,0.468301556,0.465439965,0.466834653
6080406,电子精密机械装调工,0.734954122,0.747661599,0.741468204
