province,industry,year,employment,exposure
云南,居民服务、修理和其他服务业,2022,1.6,0.6329928585763148
云南,教育业,2022,66.2,0.3110199808341884
云南,卫生和社会工作,2022,36.4,0.3910500687036733
云南,文化、体育和娱乐业,2022,3.6,0.49574940735891965
云南,公共管理、社会保障和社会组织,2022,73.0,0.2793208238428194
云南,农林牧渔业,2021,2.5,0.46712666401014213
云南,采矿业,2021,5.6,0.5125208943995355
云南,制造业,2021,39.6,0.6847175650925181
云南,电力、热力、燃气及水生产和供应业,2021,11.2,0.5801516371950981
云南,建筑业,2021,29.7,0.6347082232359608
云南,交通运输、仓储和邮政业,2021,15.8,0.5359857648246004
云南,信息传输、软件和信息技术服务业,2021,5.3,0.30552326914336103
云南,批发和零售业,2021,15.2,0.41448412652779204
云南,住宿和餐饮业,2021,5.0,0.7053722687093864
云南,金融业,2021,12.5,0.2464877853992743
云南,房地产业,2021,9.5,0.29801142930015084
云南,租赁和商务服务业,2021,11.3,0.47578153570443577
云南,科学研究和技术服务业,2021,9.6,0.3957922605974184
云南,水利、环境和公共设施管理业,2021,7.0,0.5811363001515862
云南,居民服务、修理和其他服务业,2021,1.8,0.6329928585763148
云南,教育业,2021,66.5,0.3110199808341884
云南,卫生和社会工作,2021,35.7,0.3910500687036733
云南,文化、体育和娱乐业,2021,3.7,0.49574940735891965
云南,公共管理、社会保障和社会组织,2021,70.7,0.2793208238428194
云南,农林牧渔业,2020,2.6,0.46712666401014213
云南,采矿业,2020,5.7,0.5125208943995355
云南,制造业,2020,40.3,0.6847175650925181
云南,电力、热力、燃气及水生产和供应业,2020,11.3,0.5801516371950981
云南,建筑业,2020,33.7,0.6347082232359608
云南,交通运输、仓储和邮政业,2020,16.2,0.5359857648246004
云南,信息传输、软件和信息技术服务业,2020,5.3,0.30552326914336103
云南,批发和零售业,2020,14.4,0.41448412652779204
云南,住宿和餐饮业,2020,4.9,0.7053722687093864
云南,金融业,2020,11.9,0.2464877853992743
云南,房地产业,2020,10.2,0.29801142930015084
云南,租赁和商务服务业,2020,11.7,0.47578153570443577
云南,科学研究和技术服务业,2020,9.6,0.3957922605974184
云南,水利、环境和公共设施管理业,2020,6.4,0.5811363001515862
云南,居民服务、修理和其他服务业,2020,1.5,0.6329928585763148
云南,教育业,2020,68.5,0.3110199808341884
云南,卫生和社会工作,2020,33.6,0.3910500687036733
云南,文化、体育和娱乐业,2020,3.8,0.49574940735891965
云南,公共管理、社会保障和社会组织,2020,66.6,0.2793208238428194
云南,农林牧渔业,2019,3.5,0.46712666401014213
云南,采矿业,2019,6.6,0.5125208943995355
云南,制造业,2019,42.1,0.6847175650925181
云南,电力、热力、燃气及水生产和供应业,2019,12.1,0.5801516371950981
云南,建筑业,2019,38.9,0.6347082232359608
云南,交通运输、仓储和邮政业,2019,16.3,0.5359857648246004
云南,信息传输、软件和信息技术服务业,2019,5.3,0.30552326914336103
云南,批发和零售业,2019,15.8,0.41448412652779204
云南,住宿和餐饮业,2019,5.4,0.7053722687093864
云南,金融业,2019,11.9,0.2464877853992743
云南,房地产业,2019,10.4,0.29801142930015084
云南,租赁和商务服务业,2019,11.9,0.47578153570443577
云南,科学研究和技术服务业,2019,9.4,0.3957922605974184
云南,水利、环境和公共设施管理业,2019,6.1,0.5811363001515862
云南,居民服务、修理和其他服务业,2019,1.6,0.6329928585763148
云南,教育业,2019,63.4,0.3110199808341884
云南,卫生和社会工作,2019,30.2,0.3910500687036733
云南,文化、体育和娱乐业,2019,3.8,0.49574940735891965
云南,公共管理、社会保障和社会组织,2019,72.8,0.2793208238428194
云南,农林牧渔业,2018,4.7,0.46712666401014213
云南,采矿业,2018,11.5,0.5125208943995355
云南,制造业,2018,62.7,0.6847175650925181
云南,电力、热力、燃气及水生产和供应业,2018,10.3,0.5801516371950981
云南,建筑业,2018,73.9,0.6347082232359608
云南,交通运输、仓储和邮政业,2018,17.1,0.5359857648246004
云南,信息传输、软件和信息技术服务业,2018,4.9,0.30552326914336103
云南,批发和零售业,2018,23.6,0.41448412652779204
云南,住宿和餐饮业,2018,8.0,0.7053722687093864
云南,金融业,2018,10.5,0.2464877853992743
云南,房地产业,2018,13.9,0.29801142930015084
云南,租赁和商务服务业,2018,12.3,0.47578153570443577
云南,科学研究和技术服务业,2018,9.9,0.3957922605974184
云南,水利、环境和公共设施管理业,2018,7.2,0.5811363001515862
云南,居民服务、修理和其他服务业,2018,2.5,0.6329928585763148
云南,教育业,2018,60.7,0.3110199808341884
云南,卫生和社会工作,2018,28.1,0.3910500687036733
云南,文化、体育和娱乐业,2018,3.8,0.49574940735891965
云南,公共管理、社会保障和社会组织,2018,61.4,0.2793208238428194
云南,农林牧渔业,2017,5.8,0.46712666401014213
云南,采矿业,2017,12.3,0.5125208943995355
云南,制造业,2017,64.5,0.6847175650925181
云南,电力、热力、燃气及水生产和供应业,2017,10.3,0.5801516371950981
云南,建筑业,2017,73.7,0.6347082232359608
云南,交通运输、仓储和邮政业,2017,17.9,0.5359857648246004
云南,信息传输、软件和信息技术服务业,2017,5.2,0.30552326914336103
云南,批发和零售业,2017,23.4,0.41448412652779204
云南,住宿和餐饮业,2017,8.1,0.7053722687093864
云南,金融业,2017,10.5,0.2464877853992743
云南,房地产业,2017,12.4,0.29801142930015084
云南,租赁和商务服务业,2017,11.2,0.47578153570443577
云南,科学研究和技术服务业,2017,10.4,0.3957922605974184
云南,水利、环境和公共设施管理业,2017,7.0,0.5811363001515862
云南,居民服务、修理和其他服务业,2017,2.2,0.6329928585763148
云南,教育业,2017,59.4,0.3110199808341884
云南,卫生和社会工作,2017,27.3,0.3910500687036733
云南,文化、体育和娱乐业,2017,3.7,0.49574940735891965
云南,公共管理、社会保障和社会组织,2017,57.3,0.2793208238428194
云南,农林牧渔业,2016,6.3,0.46712666401014213
云南,采矿业,2016,13.6,0.5125208943995355
云南,制造业,2016,66.3,0.6847175650925181
云南,电力、热力、燃气及水生产和供应业,2016,10.7,0.5801516371950981
云南,建筑业,2016,71.7,0.6347082232359608
云南,交通运输、仓储和邮政业,2016,17.3,0.5359857648246004
云南,信息传输、软件和信息技术服务业,2016,5.0,0.30552326914336103
云南,批发和零售业,2016,24.8,0.41448412652779204
云南,住宿和餐饮业,2016,8.2,0.7053722687093864
